model,split,degerlendirilen_kayit,gercek_anomali,tahmin_edilen_anomali,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,accuracy
Isolation Forest,dogrulama,3618,1013,974,878,96,135,2509,0.9014,0.8667,0.8837,0.9362
Isolation Forest,test,3621,1014,950,862,88,152,2519,0.9074,0.8501,0.8778,0.9337
Isolation Forest,dogrulama+test,7239,2027,1924,1740,184,287,5028,0.9044,0.8584,0.8808,0.9349
Robust Covariance,dogrulama,3618,1013,928,882,46,131,2559,0.9504,0.8707,0.9088,0.9511
Robust Covariance,test,3621,1014,916,861,55,153,2552,0.94,0.8491,0.8922,0.9426
Robust Covariance,dogrulama+test,7239,2027,1844,1743,101,284,5111,0.9452,0.8599,0.9005,0.9468
One-Class SVM,dogrulama,3618,1013,986,895,91,118,2514,0.9077,0.8835,0.8954,0.9422
One-Class SVM,test,3621,1014,976,892,84,122,2523,0.9139,0.8797,0.8965,0.9431
One-Class SVM,dogrulama+test,7239,2027,1962,1787,175,240,5037,0.9108,0.8816,0.896,0.9427
Local Outlier Factor,dogrulama,3618,1013,717,716,1,297,2604,0.9986,0.7068,0.8277,0.9176
Local Outlier Factor,test,3621,1014,714,712,2,302,2605,0.9972,0.7022,0.8241,0.916
Local Outlier Factor,dogrulama+test,7239,2027,1431,1428,3,599,5209,0.9979,0.7045,0.8259,0.9168
Autoencoder,dogrulama,3618,1013,903,844,59,169,2546,0.9347,0.8332,0.881,0.937
Autoencoder,test,3621,1014,915,839,76,175,2531,0.9169,0.8274,0.8699,0.9307
Autoencoder,dogrulama+test,7239,2027,1818,1683,135,344,5077,0.9257,0.8303,0.8754,0.9338
